City,State,Zip Code,Walk Score, Transit Score, Bike Score, Population
Bonney Lake,WA,,16,0,24,"17,374"
Tumwater,WA,,29,29,36,"17,371"
Monroe,WA,,31,0,39,"17,304"
Aberdeen,WA,,44,0,43,"16,896"
Bothell West,WA,,18,0,27,"16,607"
North Lynnwood,WA,,40,0,43,"16,574"
Charleston,WV,25301,33,0,28,"51,400"
Huntington,WV,25703,49,0,44,"49,138"
Parkersburg,WV,,46,0,33,"31,492"
Morgantown,WV,,59,0,40,"29,660"
Wheeling,WV,,37,0,35,"28,486"
Weirton,WV,,25,0,20,"19,746"
Fairmont,WV,,40,0,26,"18,704"
Beckley,WV,,35,0,27,"17,614"
Martinsburg,WV,,45,0,36,"17,227"
Clarksburg,WV,,42,0,28,"16,578"
Milwaukee,WI,53215,62,49,58,"594,833"
Madison,WI,53703,50,35,66,"233,209"
Green Bay,WI,54302,42,28,47,"104,057"
Kenosha,WI,53143,49,0,47,"99,218"
Racine,WI,,56,34,54,"78,860"
Appleton,WI,,44,0,51,"72,623"
Waukesha,WI,,35,28,38,"70,718"
Oshkosh,WI,,43,28,51,"66,083"
Eau Claire,WI,,36,0,48,"65,883"
Janesville,WI,,37,21,45,"63,575"
West Allis,WI,53227,60,43,51,"60,411"
La Crosse,WI,,54,27,66,"51,320"
Sheboygan,WI,,53,27,58,"49,288"
Wauwatosa,WI,53213,60,43,57,"46,396"
Fond du Lac,WI,,44,0,50,"43,021"
New Berlin,WI,53151,19,0,34,"39,584"
Wausau,WI,,43,0,49,"39,106"
Brookfield,WI,53005,20,8,33,"37,920"
Beloit,WI,,42,0,48,"36,966"
Greenfield,WI,53228,40,37,41,"36,720"
Menomonee Falls,WI,53051,27,5,35,"35,626"
Franklin,WI,53132,17,0,31,"35,451"
Oak Creek,WI,53154,22,19,38,"34,451"
Manitowoc,WI,,39,0,47,"33,736"
West Bend,WI,,34,0,39,"31,078"
Sun Prairie,WI,,33,0,56,"29,364"
Superior,WI,,44,24,49,"27,244"
Stevens Point,WI,,45,0,64,"26,717"
Mount Pleasant,WI,,20,0,34,"26,197"
Neenah,WI,,42,0,49,"25,501"
Fitchburg,WI,,30,20,58,"25,260"
Caledonia,WI,53402,10,0,29,"24,705"
Muskego,WI,53150,16,0,37,"24,135"
Watertown,WI,,41,0,39,"23,861"
De Pere,WI,,30,17,40,"23,800"
Mequon,WI,53092,11,0,32,"23,132"
South Milwaukee,WI,53172,45,34,46,"21,156"
Germantown,WI,53022,22,3,33,"19,749"
Pleasant Prairie,WI,53158,11,0,35,"19,719"
Marshfield,WI,,36,0,55,"19,118"
Wisconsin Rapids,WI,,40,0,51,"18,367"
Cudahy,WI,53110,49,35,54,"18,267"
Onalaska,WI,,28,10,41,"17,736"
Middleton,WI,,46,25,59,"17,442"
Howard,WI,,18,0,38,"17,399"
Menasha,WI,,41,0,55,"17,353"
Ashwaubenon,WI,,31,21,39,"16,963"
Cheyenne,WY,,36,0,49,"59,466"
Casper,WY,,36,0,42,"55,316"
Laramie,WY,,35,0,74,"30,816"
Gillette,WY,,22,0,31,"29,087"
Rock Springs,WY,,26,0,32,"23,036"
Sheridan,WY,,30,0,40,"17,444"
