City,State,Zip Code,Walk Score, Transit Score, Bike Score, Population
Colorado Springs,CO,80918,36,19,45,"416,427"
Aurora,CO,80013,43,35,53,"325,078"
Fort Collins,CO,,37,28,78,"143,986"
Lakewood,CO,80226,43,31,56,"142,980"
Thornton,CO,80241,32,24,48,"118,772"
Pueblo,CO,,37,0,47,"106,595"
Arvada,CO,80004,35,23,50,"106,433"
Westminster,CO,80031,35,26,51,"106,114"
Centennial,CO,80122,35,21,46,"100,377"
Boulder,CO,,56,47,86,"97,385"
Highlands Ranch,CO,80126,28,0,49,"96,713"
Greeley,CO,,39,0,47,"92,889"
Longmont,CO,80501,39,25,58,"86,270"
Loveland,CO,,30,0,46,"66,859"
Grand Junction,CO,81501,32,0,55,"58,566"
Broomfield,CO,,33,10,58,"55,889"
Castle Rock,CO,,11,0,40,"48,231"
Commerce City,CO,,30,22,45,"45,913"
Parker,CO,,21,0,44,"45,297"
Littleton,CO,80120,40,29,45,"41,737"
Northglenn,CO,,47,35,56,"35,789"
Brighton,CO,,36,18,49,"33,352"
Security-Widefield,CO,80911,18,0,32,"32,882"
Ken Caryl,CO,,38,8,52,"32,438"
Dakota Ridge,CO,,25,19,41,"32,005"
Englewood,CO,,61,39,62,"30,255"
Wheat Ridge,CO,80033,45,33,61,"30,166"
Pueblo West,CO,,7,0,36,"29,637"
Fountain,CO,,19,0,30,"25,846"
Lafayette,CO,,42,36,52,"24,453"
Columbine,CO,,31,4,48,"24,280"
Clifton,CO,,16,19,38,"19,889"
Montrose,CO,,28,0,43,"19,132"
Golden,CO,,42,0,56,"18,867"
Windsor,CO,,25,0,39,"18,644"
Evans,CO,80620,32,0,36,"18,537"
Louisville,CO,,42,32,71,"18,376"
Sherrelwood,CO,,42,32,37,"18,287"
Erie,CO,,13,0,43,"18,135"
Durango,CO,,37,0,52,"16,887"
Bridgeport (the largest city in Connecticut),CT,06606,66,40,49,"144,229"
New Haven,CT,06511,68,49,66,"129,779"
Hartford,CT,06106,67,53,54,"124,775"
Stamford,CT,06902,55,46,46,"122,643"
Waterbury,CT,06708,46,34,29,"110,366"
Norwalk,CT,06854,48,38,40,"85,603"
Danbury,CT,06810,37,0,28,"80,893"
New Britain,CT,06053,48,38,48,"73,206"
West Hartford,CT,06107,44,0,44,"63,268"
Meriden,CT,06450,40,25,33,"60,868"
Bristol,CT,06010,33,0,30,"60,477"
West Haven,CT,06516,48,0,39,"55,564"
Stratford,CT,06614,41,0,38,"51,384"
Milford,CT,06460,34,0,35,"51,271"
East Hartford,CT,06118,33,0,40,"51,252"
Middletown,CT,06457,28,0,28,"47,648"
Norwich,CT,06360,33,0,25,"40,493"
Shelton,CT,06484,18,1,19,"39,559"
Torrington,CT,06790,36,0,29,"36,383"
Trumbull,CT,06611,16,0,24,"36,018"
Naugatuck,CT,06770,28,0,19,"31,862"
Manchester,CT,,52,34,42,"30,577"
Newington,CT,06111,31,0,30,"30,562"
East Haven,CT,,34,0,29,"29,257"
New London,CT,06320,55,0,42,"27,620"
Wethersfield,CT,06109,30,0,36,"26,668"
Westport,CT,06880,21,0,26,"26,391"
North Haven,CT,06473,19,0,26,"24,093"
Darien,CT,06820,28,36,32,"20,732"
Ansonia,CT,06401,38,0,25,"19,249"
Wallingford Center,CT,,45,0,34,"18,209"
Willimantic,CT,,50,0,46,"17,737"
Wilmington,DE,,74,48,52,"70,851"
Dover,DE,,33,28,47,"36,047"
Newark,DE,,42,27,61,"31,454"
Bear,DE,,27,0,36,"19,371"
Middletown,DE,,29,0,41,"18,871"
Jacksonville (the largest city in Florida),FL,32210,26,21,41,"821,784"
Miami,FL,33125,77,57,64,"399,457"
Tampa,FL,33604,50,31,55,"335,709"
St. Petersburg,FL,33710,43,33,59,"244,769"
Orlando,FL,32811,41,33,57,"238,300"
Hialeah,FL,33012,68,39,51,"224,669"
Tallahassee,FL,32301,30,30,45,"181,376"
Fort Lauderdale,FL,33308,56,38,56,"165,521"
Port St. Lucie,FL,34953,13,0,36,"164,603"
Pembroke Pines,FL,33028,32,25,41,"154,750"
Cape Coral,FL,33914,17,0,37,"154,305"
Hollywood,FL,33021,52,35,53,"140,768"
Gainesville,FL,32605,37,0,69,"124,354"
Miramar,FL,,28,25,40,"122,041"
Coral Springs,FL,33065,38,30,45,"121,096"
Clearwater,FL,33755,42,29,56,"107,685"
Miami Gardens,FL,33056,38,42,43,"107,167"
Brandon,FL,33511,24,0,39,"103,483"
Palm Bay,FL,32907,13,0,38,"103,190"
West Palm Beach,FL,33401,40,0,50,"99,919"
Pompano Beach,FL,33060,43,33,51,"99,845"
Spring Hill,FL,34609,15,0,32,"98,621"
Lakeland,FL,,35,0,51,"97,422"
Davie,FL,33314,27,17,43,"91,992"
Miami Beach,FL,33139,76,51,69,"87,779"
Lehigh Acres,FL,33971,7,0,28,"86,784"
Deltona,FL,,16,0,30,"85,182"
Plantation,FL,,29,34,42,"84,955"
Sunrise,FL,33351,37,34,44,"84,439"
Boca Raton,FL,33486,38,0,56,"84,392"
Town 'n' Country,FL,33615,33,27,44,"78,442"
Alafaya,FL,32828,17,0,42,"78,113"
Largo,FL,,43,31,52,"77,648"
Melbourne,FL,32935,33,20,45,"76,068"
Kendall,FL,33176,45,35,46,"75,371"
Palm Coast,FL,32164,6,0,32,"75,180"
Deerfield Beach,FL,33442,39,27,50,"75,018"
