GeoFips,GeoName,LineCode,Description,2023
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",129.186
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.604
15500,"Burlington, NC (Metropolitan Statistical Area)",1,RPPs: All items,92.748
15500,"Burlington, NC (Metropolitan Statistical Area)",2,"  RPPs: Goods",96.458
15500,"Burlington, NC (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",75.026
15500,"Burlington, NC (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",85.698
15500,"Burlington, NC (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.136
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",1,RPPs: All items,100.040
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",2,"  RPPs: Goods",96.273
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",101.693
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",121.770
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",101.378
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",1,RPPs: All items,100.247
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",2,"  RPPs: Goods",96.691
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",110.983
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",99.431
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",99.389
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",1,RPPs: All items,88.539
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",2,"  RPPs: Goods",93.316
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",58.436
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",90.127
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.784
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",1,RPPs: All items,102.565
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.611
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",126.700
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",90.656
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",99.484
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",1,RPPs: All items,86.324
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.137
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",52.158
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",87.206
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",93.324
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",1,RPPs: All items,87.243
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",2,"  RPPs: Goods",92.491
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",54.446
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",89.692
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.195
16180,"Carson City, NV (Metropolitan Statistical Area)",1,RPPs: All items,94.056
16180,"Carson City, NV (Metropolitan Statistical Area)",2,"  RPPs: Goods",94.587
